Category,Title,Positive_Title,Negative_Title
"Watches, Bags, Jewellery",Disney Cute Cartoon Characters Mickey Mouse Minnie Plush backpack Kids Schoolbag Podazz,Cartoon Cat Printing Student School Bags Women Contrast Color Backpack Casual Large Capacity Female Travel Knapsack,Samsung Solo Microwave Oven - 23L Model (MS23K3513AK/D2)
"Watches, Bags, Jewellery",Cartoon Cat Printing Student School Bags Women Contrast Color Backpack Casual Large Capacity Female Travel Knapsack,Cartoon Design Kids Small Backpack / Kids Cartoon School Bag,Kebidu 2Pcs Car Blind Spot Mirrors 360° Adjustable Wide-Angle High Clarity Stiffness Durability Car Rearview Parking Mirror
"Watches, Bags, Jewellery",Cartoon Design Kids Small Backpack / Kids Cartoon School Bag,Kids Bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,"Toner Chip T-5018C For Toshiba e-STUDIO 2518A,3018A,3518A,4518A, 5018A Printer Black Toner Powder Reset Refill Cartridge Chips"
"Watches, Bags, Jewellery",Kids Bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,Children Backpacks Cute Student Schoolbags For Girls Primary School Bag Waterproof Children's Book Bags For Teenagers Girls Kids,Custom Name And Photo Printed Premium Wooden Key Ring - Great to Have
"Watches, Bags, Jewellery",Children Backpacks Cute Student Schoolbags For Girls Primary School Bag Waterproof Children's Book Bags For Teenagers Girls Kids,Kids School Bag School kids hi quality bag 12/17 inc,Dedit Or Credit Card Holder With Wallet for Men And Women
"Watches, Bags, Jewellery",Kids School Bag School kids hi quality bag 12/17 inc,8x9 Inches Mickey Mouse Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag,Elastic Resistance Loop Bands Gym Yoga Exercise Fitness Workout Stretch BDM
"Watches, Bags, Jewellery",8x9 Inches Mickey Mouse Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag,Kawaii Sanrio Plush Purse Cute Mymelody Kuromi Cartoon Mini Storage Wallet Headset Bag Girl Backpack Pendant,Beauty Glazed Softly 3 colors Concealer Palette
"Watches, Bags, Jewellery",Kawaii Sanrio Plush Purse Cute Mymelody Kuromi Cartoon Mini Storage Wallet Headset Bag Girl Backpack Pendant,CHINA SCHOOL BAG WATERPROOF WASHABLE,30Pcs Windows+ Word/Excel /Adobe Photoshop Keyboard Guide Shortcut Sticker
"Watches, Bags, Jewellery",CHINA SCHOOL BAG WATERPROOF WASHABLE,Casual Nylon Backpack Travel Rucksack Solid Color Women Backpack Student School Bags Laptop Knapsack Teenager Girls Book Bags,"Monitor LCD with Professional, Easy to Install, Durable Counter for Stationary Bicycles, Bikes, , SM"
"Watches, Bags, Jewellery",Casual Nylon Backpack Travel Rucksack Solid Color Women Backpack Student School Bags Laptop Knapsack Teenager Girls Book Bags,Kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,Black Stylish Winter Bonded Jacket For Men - Jacket For Men - Winter Collection For Men - Jacket
"Watches, Bags, Jewellery",Kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,"Elevate Your Travel with a Waterproof Embroidery Multifunctional Anti-Theft Backpack for Girls: Large Capacity, Trendy Comfort, and Simple Style",Kellogg's Corn Flakes Original Breakfast Cereal 100gm
"Watches, Bags, Jewellery","Elevate Your Travel with a Waterproof Embroidery Multifunctional Anti-Theft Backpack for Girls: Large Capacity, Trendy Comfort, and Simple Style",Understated -Craftsmanship and Trendy -8x9 Inches Minions Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag- Progressively Better,Renocal Fn rease Grease NLGI NO 3/ calcium grease FUCHS brand- 400 gram with plastic box
"Watches, Bags, Jewellery",Understated -Craftsmanship and Trendy -8x9 Inches Minions Boys Girls Cartoon Mini Backpack Preschool Baby Schoolbag- Progressively Better,"school bag,,,,for class one/two/three",Deformed Fidget Spinner Chain Toys For Children Antistress Hand Spinner Vent Toys Adult Stress Relief Sensory Gyro Gift
"Watches, Bags, Jewellery","school bag,,,,for class one/two/three",Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery SEVICH,Kids' Toilet Trainer Baby Pot Seat
"Watches, Bags, Jewellery",Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery SEVICH,Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,Fuji Apple 2pcs
"Watches, Bags, Jewellery",Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,School Bag Kids School Bag Boy's and Girls 14 inchi,Senora Panty System Sanitary Napkins - 10pads - pad
"Watches, Bags, Jewellery",School Bag Kids School Bag Boy's and Girls 14 inchi,Kids handbags For Girls cartoon bag styling Mini shoulder Messenger bag cartoon cute girls cat bag fashion shoulder diagonal crossbody handbag,CBL Munchee Butter Fingers 80g
"Watches, Bags, Jewellery",Kids handbags For Girls cartoon bag styling Mini shoulder Messenger bag cartoon cute girls cat bag fashion shoulder diagonal crossbody handbag,badgeKorean School Backpacks for Women,Toshiba Dynabook Satellite Pro C40-G-109 10th Gen Intel Celeron Dual Core Laptop
"Watches, Bags, Jewellery",badgeKorean School Backpacks for Women,Unicorn Kid Purse-Cute Unicorn Bag-Custom Toddler Purse -Personalized Girl Crossbody Bag-Girls Coin Purse-little girl Birthday Gift,Superb Understated -Craftsmanship and Trendy -Bag Daypack Bookbags 10L - Bag For Boys - Bag For Boys- Progressively Better
"Watches, Bags, Jewellery",Unicorn Kid Purse-Cute Unicorn Bag-Custom Toddler Purse -Personalized Girl Crossbody Bag-Girls Coin Purse-little girl Birthday Gift,DishyKooker Children Fashion Plush Messenger Bag Cartoon Unicorn Large-capacity Zipper Round Shoulder Bags,Black High quality Leather Long Wallet For Men
"Watches, Bags, Jewellery",DishyKooker Children Fashion Plush Messenger Bag Cartoon Unicorn Large-capacity Zipper Round Shoulder Bags,"Fidget Toys Crossbody Bags for Women Girls, Fidget Pop Bubble Shoulder Bag Silicone Push Bubble Messenger Bag Relieve Stress, Crossbody Small Purse Sensory Toys for School Home (Colorful Unicorn)",Electric Car Power Lock Key Switch Universal Electric Bicycle Scooter Accessory For E-bike Keychain Ring Lock Plastic Power Lock
"Watches, Bags, Jewellery","Fidget Toys Crossbody Bags for Women Girls, Fidget Pop Bubble Shoulder Bag Silicone Push Bubble Messenger Bag Relieve Stress, Crossbody Small Purse Sensory Toys for School Home (Colorful Unicorn)",China Cute Hello Kitty Cartoon Shape Stylish Shoulder Bag For Girls Or Kids Bag,SANEE Mobile -Model: S113 Button Feature phone
"Watches, Bags, Jewellery",China Cute Hello Kitty Cartoon Shape Stylish Shoulder Bag For Girls Or Kids Bag,Kids Crossbody Bag Wear-Resistant Fashion Cartoon Car Shape Crossbody Bag,Studio X Ultimate Hold Hair Gel 50ml
"Watches, Bags, Jewellery",Kids Crossbody Bag Wear-Resistant Fashion Cartoon Car Shape Crossbody Bag,1pc Niqab Muslimah Korea Women Shoulder bagpack For teenage girls - School Bag For Girls - School Bag For Girls,"Enhance Your Look with a Stainless Steel Black Natural Stone Men's Finger Ring - Ring for Men - Very Comfortable and Fashionable, Easy to Clean."
"Watches, Bags, Jewellery",1pc Niqab Muslimah Korea Women Shoulder bagpack For teenage girls - School Bag For Girls - School Bag For Girls,Sea Gold School Bag Kids Bag For Made In China,LiitoKala Lii-31S 35A 3100mAh 18650 3.7V Li-ion Rechargeable Battery Flat Top Lithium ion Battery
"Watches, Bags, Jewellery",Sea Gold School Bag Kids Bag For Made In China,Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery Layor,Shape Press Snap Button - 4 part Snap Button - 4 part TIP Botam - Design 189 of 200
"Watches, Bags, Jewellery",Cartoon Kids Unicorn Canvas Backpack School Bag Fashion For Stationery Layor,DishyKooker Student Nylon Backpack Large-capacity Rust-proof Smooth Zipper Schoolbag For Junior High School Students,Silicone Spray for Electric & Manual Treadmill - Best for Treadmill Belt - Certified for Treadmill Use - 1 Pcs - Fitness Mart
"Watches, Bags, Jewellery",DishyKooker Student Nylon Backpack Large-capacity Rust-proof Smooth Zipper Schoolbag For Junior High School Students,Girls China School Bag Use For Girls Waterproof and Washable,24 LED TV HD Double Glass
"Watches, Bags, Jewellery",Girls China School Bag Use For Girls Waterproof and Washable,"Toddler Girls Plush Backpack, Cute Cartoon Pattern School Bag Lightweight Daypack",Guero spinning spinning tops toys spinner Circle Fijet Fun Party Gifts Fidget Motion Table Toys
"Watches, Bags, Jewellery","Toddler Girls Plush Backpack, Cute Cartoon Pattern School Bag Lightweight Daypack",Kinder Garden School Bag,Core I5 2nd Gen 8GB RAM 2GB Grapich Build in PC Heavy Powersupply
"Watches, Bags, Jewellery",Kinder Garden School Bag,girls backpack school bag set. school bag and lunch bag set for kids. schoolbags for girls.,Haier 1.5 Ton CleanCool Inverter AC (HSU-18CleanCool)
"Watches, Bags, Jewellery",girls backpack school bag set. school bag and lunch bag set for kids. schoolbags for girls.,New Animal Children mini Backpacks Kids school bag for girls Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,Baby kids Toy Remote control Helicopter
"Watches, Bags, Jewellery",New Animal Children mini Backpacks Kids school bag for girls Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,Escape School Backpack for Kids - Students - 22 Litres - Pink - K-003,Exclusive Design Metal Tikli For Women
"Watches, Bags, Jewellery",Escape School Backpack for Kids - Students - 22 Litres - Pink - K-003,Understated -Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids- Progressively Better,C-Data Single Port Gigabit Optical Network Terminal Epon Onu-mini case
"Watches, Bags, Jewellery",Understated -Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids- Progressively Better,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,Hundred Traces 3+9VGA Line Full Copper Strips Shielded Computer Projector High Definition Video Connector 1.5/3 M Engineering Grade
"Watches, Bags, Jewellery",Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,20L Backpacks Bunny Backpack Children School Bags Cute Kids Backpacks Portable Backpacks Boys And Girls School Book Backpack,Mibro Lite 2 Smart Watch Full Coverage Plastic Screen Protector
"Watches, Bags, Jewellery",20L Backpacks Bunny Backpack Children School Bags Cute Kids Backpacks Portable Backpacks Boys And Girls School Book Backpack,Waterproof Business laptop backpack women USB Notebook School Travel Bags Men anti theft school Backpack,হাসির মুখের স্প্রিং বাউন্সিং পুতুল (ইমোজি) 1 পিস - doll
"Watches, Bags, Jewellery",Waterproof Business laptop backpack women USB Notebook School Travel Bags Men anti theft school Backpack,"schools bag,for class 5/6/7,and fashion bag,",Parachute Just for Baby - Face Cream 100g
"Watches, Bags, Jewellery","schools bag,for class 5/6/7,and fashion bag,",Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,"Mini Hammer, Mallet Hammer High Carbon Steel for Repair Shops"
"Watches, Bags, Jewellery",Mickey Mouse bag for girls Small bag Small backpack for girls/ Stylish Backpack For Girls/Casual Backpack - Bag,School Bag Kids Bag For Made in China,Rechargeable Super Powerful And Remote Control 3D Toy Police Car For Kids
"Watches, Bags, Jewellery",School Bag Kids Bag For Made in China,Nylon Beauiful Children School Bag For and all ( by Fashion BD 1 ),6 in 1 Safe Baby Carrier Bag-Navy Blue
"Watches, Bags, Jewellery",Nylon Beauiful Children School Bag For and all ( by Fashion BD 1 ),School Bag For Class Six-Ten Navy Blue - Bag For Boys,F04 PINKFLASH Lasting Matte Concealer - Shade 04
"Watches, Bags, Jewellery",School Bag For Class Six-Ten Navy Blue - Bag For Boys,DishyKooker Children Backpack Cartoon Spider-man Printing Cute Zipper School Bag For Boys Girls,RFL Moving Hand Fan Red 917122
"Watches, Bags, Jewellery",DishyKooker Children Backpack Cartoon Spider-man Printing Cute Zipper School Bag For Boys Girls,kids cartoon bag Baby Bag For Girls,AMUL DARK CHOCOLATE BAR 150GM
"Watches, Bags, Jewellery",kids cartoon bag Baby Bag For Girls,Baby School bagpack newstylish 2023,NESTLE Cerelac Multigrain & Garden Vegetables From 12+ Months 250g Malaysia
"Watches, Bags, Jewellery",Baby School bagpack newstylish 2023,Kids Cartoon School Bags Custom Children's Bookbags Print Latest Fashion for Teen Girl Nylon Day Backpack 1pc/poly Bag + Carton,AC cord 5000w for Kettle & Rice Cooker Heavy Duty
"Watches, Bags, Jewellery",Kids Cartoon School Bags Custom Children's Bookbags Print Latest Fashion for Teen Girl Nylon Day Backpack 1pc/poly Bag + Carton,Trendy Cartoon Printed Mickey Mouse Shoulder Bag for Girls Simple Stylish - Fashionable Crossbody Shoulder Bag for Women New Collection - Kid's Shoulder Bag,Kellogg's Corn Flakes with Real Strawberry Puree Breakfast Cereal 300gm
"Watches, Bags, Jewellery",Trendy Cartoon Printed Mickey Mouse Shoulder Bag for Girls Simple Stylish - Fashionable Crossbody Shoulder Bag for Women New Collection - Kid's Shoulder Bag,Factory Direct Sales Primary School Student Schoolbag3DChildren's load reducing schoolbags1-3-6Grade Kindergarten Cartoon Backpack,"Canon Lp-E10 durable Battery Camera For Canon EOS 1100D 1200D 1300D, 4000D,Kiss X50 X70 X80 EOS Rebel T3 T5 T6"
"Watches, Bags, Jewellery",Factory Direct Sales Primary School Student Schoolbag3DChildren's load reducing schoolbags1-3-6Grade Kindergarten Cartoon Backpack,"Kids school Cartoon Bags Small (9x8inc), Nursery Kids travel Bags, Baby girls Birthday gift, Cartoon bags","UGREEN USB C Earbuds, Wired Headphones with Microphone and Volume Control Noise Cancelling Headphones, HiFi Stereo Wired Earbuds Compatible with 2021 iPad Pro Samsung Galaxy S21 Google Pixel 5/4/4XL"
"Watches, Bags, Jewellery","Kids school Cartoon Bags Small (9x8inc), Nursery Kids travel Bags, Baby girls Birthday gift, Cartoon bags",Kids Girl Cross-body Heart Sequins Bag Purse Coin Handbag Bling Shoulder Bag Creative Cross Bag,iPhone 14 256GB (USA - LL/A) Smartphone - Unofficial
"Watches, Bags, Jewellery",Kids Girl Cross-body Heart Sequins Bag Purse Coin Handbag Bling Shoulder Bag Creative Cross Bag,Girls Purse for Kids Little Girls Crossbody Shoulder Bag Handbag for Gift(বাচ্চাদের স্টাইলিস ক্রসবডি ব্যাগ),New Born Baby dream Cozy Nest Cradle/Dolna With Mosquito Net
"Watches, Bags, Jewellery",Girls Purse for Kids Little Girls Crossbody Shoulder Bag Handbag for Gift(বাচ্চাদের স্টাইলিস ক্রসবডি ব্যাগ),Yfashion ldren Sling Bag Cute Anime Cartoon Printing Zipper Crossbody Shoulder Bag For Boys Girls color,Fishing Board Game Toy Set for Kids Fish Shape Board
"Watches, Bags, Jewellery",Yfashion ldren Sling Bag Cute Anime Cartoon Printing Zipper Crossbody Shoulder Bag For Boys Girls color,Cute Little Mermaid Ariel Princess Backpack Kawaii Children School Bag Preschool Kindergarten Elementary School Backpacks for Girls with LED light,Chendaorong Table Football Soccer Tabletop Foosball Table For Adults And Kids Portable Mini Size Foosball Soccer Tabletops Kids Family Play Sports Fun
"Watches, Bags, Jewellery",Cute Little Mermaid Ariel Princess Backpack Kawaii Children School Bag Preschool Kindergarten Elementary School Backpacks for Girls with LED light,Bili Online Kids School Bag,Helmet wall Stand Hook helmet Hanger 1pcs
"Watches, Bags, Jewellery",Bili Online Kids School Bag,Kids Baby Cartoon Penguin Backpack Boys Girls Kindergarten School Rucksack Bag,2x Cute Kids Kindergarten School Bag 3D Cartoon Dinosaur Mini Backpack Baby Boy Girl School Bag Red & Blue
"Watches, Bags, Jewellery",Kids Baby Cartoon Penguin Backpack Boys Girls Kindergarten School Rucksack Bag,Rechargeable Mobile Phone Short Killer Repair Artifact 2 Generation Burning Machine...,FANTECH ALTO MH91 MULTI-PLATFORM GAMING HEADSET
"Watches, Bags, Jewellery",Rechargeable Mobile Phone Short Killer Repair Artifact 2 Generation Burning Machine...,Milk 99% White Soothing Gel 300ml 100% ORGINAL,Adjustable Focus Green Laser Pointer
"Watches, Bags, Jewellery",Milk 99% White Soothing Gel 300ml 100% ORGINAL,Kid Trolley For Backpack And School Bag Luggage For Children 2/6 Wheels Expandable Rod High Function Trolly Chariot,LAN SHAN Water Purifier LSRO: 1550-G
"Watches, Bags, Jewellery",Kid Trolley For Backpack And School Bag Luggage For Children 2/6 Wheels Expandable Rod High Function Trolly Chariot,"schools bag,for class 5/6/7,and fashion bag",Cooler Master Hyper T20 CPU Cooler For I3 And I5 Processor
"Watches, Bags, Jewellery","schools bag,for class 5/6/7,and fashion bag",2023New Schoolbag Wholesale Women's Large Capacity Multi-Pocket Waterproof Dream Factory Children's Schoolbag Primary School Junior High School,Small Bitter Gourd (Usta) 500 gm
"Watches, Bags, Jewellery",2023New Schoolbag Wholesale Women's Large Capacity Multi-Pocket Waterproof Dream Factory Children's Schoolbag Primary School Junior High School,Cartoon Dinosaur Children's Backpack Rabbit Kindergarten Backpack Boys and Girls Bookbag Wholesale Schoolbag for 3-6 Years Old,iPhone 14 128GB (USA) Smartphone - Unofficial
"Watches, Bags, Jewellery",Cartoon Dinosaur Children's Backpack Rabbit Kindergarten Backpack Boys and Girls Bookbag Wholesale Schoolbag for 3-6 Years Old,Kindergarten Cute Mermaid Baby Children School Bag Little Girl Princess Cartoon Toddler Backpack Ba,Lenovo Xiaoxin PLUS Bluetooth Mouse Mute Button Light Sound Portable Ergonomic Design Office Game Universal Charging Mouse
"Watches, Bags, Jewellery",Kindergarten Cute Mermaid Baby Children School Bag Little Girl Princess Cartoon Toddler Backpack Ba,Children backpack Neutral Storage bag non-woven drawstring school bag Unicorn Cartoon Backpack Cute Drawstring Bag,Metal Finger Ring for Men - Black
"Watches, Bags, Jewellery",Children backpack Neutral Storage bag non-woven drawstring school bag Unicorn Cartoon Backpack Cute Drawstring Bag,Elegant Rhombus Crossbody Bags Leather Shoulder Bag Handbag For Baby Girls Podazz,0.8mm Elastic Bracelet Crystal String Cord Strong Stretchy Beading Thread for DIY Jewelry Necklace Bracelet Making 60m per Roll (Clear White)
"Watches, Bags, Jewellery",Elegant Rhombus Crossbody Bags Leather Shoulder Bag Handbag For Baby Girls Podazz,Zip It Good Baby School Backpack Bag/Kid School Bags/School Bag for Baby Boys & Girls-SIZE 14 INCH,Aer Room (Air) Freshener Spray Petal Crush Pink 220ml
"Watches, Bags, Jewellery",Zip It Good Baby School Backpack Bag/Kid School Bags/School Bag for Baby Boys & Girls-SIZE 14 INCH,Women Fashion Backpack Waterproof Cute Student Schoolbag Lady Laptop Backpack Kawaii Girl College Book bag Travel Backpag,"Buy 1 get 1,Square LED Digital Sports Watch And Ring Touch Watch - Watch - Watch For Men - Watch - ঘড়ি - Watch For Men"
